model resolution Lambda EOS M1 M2 Mb1 Mb2 C1 C2 k2T Momega22 MADM JADM tmerg Momega22 fmerg remnant tauHMNS Momega22* f* Momega222 f2 Mej Tej Mdisk Mbh jBH vej
MS1-135135-R2c R2c 1765 MS1 1.35 1.35 1.46 1.46 0.139 0.139 325 0.052 2.676 7.16 1479 0.112 1.38 MNS nan 0.134 1.60 0.166 1.99 0.7 0.1 nan nan nan 0.18
MS1-135135-R2n R2n 1765 MS1 1.35 1.35 1.46 1.46 0.139 0.139 325 0.052 2.676 7.16 1476 0.114 1.36 MNS nan 0.135 1.61 0.170 2.04 1.2 0.1 nan nan nan 0.18
MS1-125145-R2c R2c 1585 MS1 1.45 1.25 1.61 1.38 0.148 0.129 331 0.052 2.673 7.10 1420 0.110 1.32 MNS nan 0.130 1.56 0.172 2.06 5.8 0.7 nan nan nan 0.15
MS1-125145-R2n R2n 1585 MS1 1.45 1.25 1.61 1.38 0.148 0.129 331 0.052 2.673 7.10 1419 0.111 1.33 MNS nan 0.125 1.50 0.157 1.88 3.2 0.2 nan nan nan 0.15
H4-135135-R2c R2c 1107 H4 1.35 1.35 1.47 1.47 0.147 0.147 210 0.052 2.674 7.13 1804 0.129 1.54 HMNS-BH 5130 0.146 1.75 0.214 2.57 0.6 0.3 10.8 2.48 0.62 0.30
H4-135135-R2n R2n 1107 H4 1.35 1.35 1.47 1.47 0.147 0.147 210 0.052 2.674 7.13 1803 0.130 1.55 HMNS-BH 4470 0.145 1.73 0.216 2.58 0.6 0.3 8.5 2.54 0.65 0.30
H4-125145-R2c R2c 1124 H4 1.45 1.25 1.59 1.35 0.158 0.136 212 0.052 2.674 7.10 1822 0.120 1.44 HMNS nan 0.140 1.68 0.197 2.36 6.0 1.6 nan nan nan 0.23
H4-125145-R2n R2n 1124 H4 1.45 1.25 1.59 1.35 0.158 0.136 212 0.052 2.674 7.10 1820 0.120 1.44 HMNS nan 0.146 1.75 0.194 2.32 4.0 1.2 nan nan nan 0.23
ALF2-135135-R2c R2c 728 ALF2 1.35 1.35 1.49 1.49 0.161 0.161 138 0.052 2.675 7.15 2148 0.142 1.71 HMNS-BH 3760 0.168 2.01 0.235 2.81 3.5 0.4 17.8 2.43 0.62 0.15
ALF2-135135-R2n R2n 728 ALF2 1.35 1.35 1.49 1.49 0.161 0.161 138 0.052 2.675 7.15 2145 0.142 1.71 HMNS-BH 3770 0.165 1.98 0.230 2.75 2.0 0.4 21.1 2.44 0.63 0.15
ALF2-125145-R2c R2c 736 ALF2 1.45 1.25 1.61 1.37 0.172 0.150 140 0.052 2.673 7.08 2028 0.138 1.65 HMNS nan 0.157 1.88 0.222 2.66 3.9 0.4 nan nan nan 0.15
ALF2-125145-R2n R2n 700 ALF2 1.45 1.25 1.64 1.37 0.172 0.150 140 0.052 2.673 7.08 2027 0.139 1.66 HMNS nan 0.160 1.91 0.225 2.69 10.6 1.0 nan nan nan 0.15
SLy-135135-R2c R2c 420 SLy 1.35 1.35 1.49 1.49 0.174 0.174 74 0.052 2.675 7.15 2504 0.168 2.01 HMNS-BH 2159 0.206 2.46 0.292 3.49 12.2 4.0 8.4 2.48 0.64 0.26
SLy-135135-R2n R2n 420 SLy 1.35 1.35 1.49 1.49 0.174 0.174 74 0.052 2.675 7.15 2495 0.168 2.01 HMNS-BH 2577 0.207 2.48 0.290 3.47 14.2 5.9 9.6 2.49 0.64 0.26
SLy-125145-R2c1 R2c1 415 SLy 1.45 1.25 1.62 1.38 0.187 0.161 75 0.052 2.673 7.07 2353 0.162 1.93 HMNS-BH 3020 0.184 2.20 0.286 3.42 6.5 2.8 17.9 2.40 0.58 0.30
SLy-125145-R2n1 R2n1 424 SLy 1.45 1.25 1.62 1.37 0.187 0.161 75 0.052 2.673 7.07 2350 0.161 1.93 HMNS-BH 2870 0.187 2.24 0.283 3.39 4.5 1.7 14.5 2.46 0.61 0.30
SLy-125145-R2c2 R2c2 424 SLy 1.45 1.25 1.62 1.37 0.187 0.161 75 0.052 2.673 7.07 2350 0.161 1.92 HMNS-BH 3310 0.186 2.23 0.285 3.41 6.2 2.1 18.4 2.40 0.58 0.30
SLy-125145-R2n2 R2n2 424 SLy 1.45 1.25 1.62 1.37 0.187 0.161 75 0.052 2.673 7.07 2348 0.160 1.91 HMNS-BH 2180 0.184 2.20 0.283 3.39 5.4 2.5 11.1 2.49 0.62 0.30
