model EOS Ref M2 M1 Gth Mej Tej vrho vz vej
1 ALF2 [24] 1 1.75 1.75 36 12.69 0.18 0.03 0.18
2 ALF2 [24] 1.167 1.75 1.75 25 10.73 0.19 0.06 0.2
3 ALF2 [24] 1.1 1.65 1.75 24 7.5 0.17 0.07 0.18
4 ALF2 [24] 1 1.5 1.75 21 4.8 0.15 0.07 0.17
5 ALF2 [24] 1.222 1.527 1.75 7.5 3.93 0.17 0.12 0.21
6 ALF2 [19] 1.2 1.5 1.8 5.5 3 0.21 0.1 0.23
7 ALF2 [19] 1.25 1.45 1.8 3 1.5 0.2 0.1 0.22
8 ALF2 [19] 1.3 1.4 1.8 1.5 0.8 0.16 0.11 0.19
9 ALF2 [19] 1.4 1.4 1.8 2.5 1.5 0.21 0.13 0.25
10 ALF2 [24] 1.375 1.375 1.75 3.4 1.36 0.17 0.1 0.2
11 ALF2 [19] 1.35 1.35 1.8 2.5 1.5 0.22 0.12 0.25
12 ALF2 [19] 1.3 1.3 1.8 2 1 0.19 0.1 0.21
13 APR4 [19] 1.2 1.5 2 7.5 5.5 0.24 0.12 0.27
14 APR4 [19] 1.2 1.5 1.8 8 5.5 0.23 0.11 0.25
15 APR4 [19] 1.2 1.5 1.6 9 5 0.2 0.1 0.22
16 APR4 [19] 1.3 1.6 1.8 2 1.5 0.24 0.08 0.25
17 APR4 [19] 1.2 1.4 1.8 3 2 0.21 0.12 0.24
18 APR4 [19] 1.25 1.45 1.8 7 4.5 0.22 0.11 0.25
19 APR4 [19] 1.3 1.5 1.8 12 8.5 0.23 0.12 0.26
20 APR4 [19] 1.3 1.4 1.8 8 5 0.19 0.12 0.22
21 APR4 [19] 1.25 1.35 1.8 5 3 0.18 0.1 0.21
22 APR4 [19] 1.4 1.5 1.8 0.6 0.9 0.35 0.12 0.37
23 APR4 [19] 1.45 1.45 1.8 0.1 0.1 0.29 0.13 0.32
24 APR4 [19] 1.4 1.4 1.8 14 10 0.22 0.15 0.27
25 APR4 [19] 1.35 1.35 2 5 3 0.19 0.13 0.23
26 APR4 [19] 1.35 1.35 1.8 7 4 0.19 0.12 0.22
27 APR4 [19] 1.35 1.35 1.6 11 6 0.19 0.13 0.23
28 APR4 [19] 1.3 1.3 1.8 2 1 0.19 0.1 0.21
29 H4 [24] 1 1.75 1.75 40 12.51 0.17 0.02 0.17
30 H4 [24] 1.167 1.75 1.75 14 4.65 0.18 0.05 0.19
31 H4 [24] 1.1 1.65 1.75 17 4.83 0.17 0.04 0.17
32 H4 [24] 1 1.5 1.75 27 8.04 0.17 0.03 0.17
33 H4 [24] 1.222 1.527 1.75 6.6 3.04 0.18 0.11 0.21
