model gamma logP14.7 M2 Mb2 C2 M1 Mb1 C1 R1.35 Mmax q Lambda Type Mdyn Mdisk Mdsk1e12 Mdisk1e11 resolution
G3.765_P34.1_1.000 3.765 34.1 1.375 1.551 0.195 1.375 1.551 0.195 10.4 2.00 1 208 no_bounce 1e-3 1e-3 nan nan 117
G3.765_P34.1_0.774 3.765 34.1 1.2 1.331 0.172 1.55 1.779 0.219 10.4 2.00 0.774 218 no_bounce 1e-3 0.023 nan nan 121
G3.887_P34.1_1.000 3.887 34.1 1.375 1.550 0.194 1.375 1.550 0.194 10.5 2.05 1 221 no_bounce 1e-3 1e-3 nan nan 118
G3.887_P34.1_0.774 3.887 34.1 1.2 1.331 0.171 1.55 1.778 0.171 10.5 2.05 0.774 230 no_bounce 5.2e-3 0.029 nan nan 126
G4.007_P34.1_1.000 4.007 34.1 1.375 1.550 0.193 1.375 1.550 0.193 10.5 2.10 1 232 no_bounce 1.9e-3 2.7e-3 nan nan 118
G4.007_P34.1_0.774 4.007 34.1 nan nan nan nan nan nan 10.5 2.10 0.774 242 long 0.013 0.26 0.16 0.097 121
G3.446_P34.2_1.000 3.446 34.2 1.375 1.544 0.191 1.375 1.544 0.191 10.6 2.00 1 232 no_bounce 1e-3 1e-3 nan nan 121
G3.446_P34.2_0.774 3.446 34.2 1.2 1.325 0.168 1.55 1.771 0.215 10.6 2.00 0.774 245 no_bounce 2.3e-3 0.036 nan nan 124
G3.568_P34.2_1.000 3.568 34.2 1.375 1.543 0.190 1.375 1.543 0.190 10.7 2.05 1 247 no_bounce 1e-3 1e-3 nan nan 122
G3.568_P34.2_0.774 3.568 34.2 1.2 1.325 0.167 1.55 1.770 0.213 10.7 2.05 0.774 259 no_bounce 0.014 0.038 nan nan 126
G3.687_P34.2_1.000 3.687 34.2 1.375 1.543 0.189 1.375 1.543 0.189 10.8 2.10 1 260 short 1.4e-3 7.8e-3 nan nan 124
G3.687_P34.2_0.774 3.687 34.2 nan nan nan nan nan nan 10.8 2.10 0.774 272 long 0.011 0.26 0.17 0.092 126
G3.132_P34.3_1.000 3.132 34.3 1.375 1.534 0.185 1.375 1.534 0.185 11.0 2.00 1 272 no_bounce 1e-3 1e-3 nan nan 126
G3.132_P34.3_0.774 3.132 34.3 1.2 1.318 0.161 1.55 1.759 0.209 11.0 2.00 0.774 290 no_bounce 0.012 0.063 nan nan 131
G3.252_P34.3_1.000 3.252 34.3 1.375 1.535 0.184 1.375 1.535 0.184 11.1 2.05 1 288 no_bounce 1.2e-3 1.9e-3 nan nan 128
G3.252_P34.3_0.774 3.252 34.3 1.2 1.319 0.161 1.55 1.759 0.207 11.1 2.05 0.774 305 short 0.015 0.12 nan nan 131
G3.370_P34.3_1.000 3.370 34.3 1.375 1.535 0.183 1.375 1.535 0.183 11.1 2.10 1 303 short 2.0e-3 0.031 nan nan 128
G3.370_P34.3_0.774 3.370 34.3 nan nan nan nan nan nan 11.1 2.10 0.774 319 long 0.011 0.25 0.19 0.12 131
G2.825_P34.4_1.000 2.825 34.4 1.375 1.522 0.176 1.375 1.522 0.176 11.6 2.00 1 345 short 6.5e-3 0.018 nan nan 134
G2.825_P34.4_0.774 2.825 34.4 1.2 1.309 0.153 1.55 1.744 0.200 11.6 2.00 0.774 373 short 0.011 0.087 nan nan 141
G2.942_P34.4_1.000 2.942 34.4 1.375 1.523 0.176 1.375 1.523 0.176 11.6 2.05 1 362 short 2.5e-3 0.016 nan nan 134
G2.942_P34.4_0.774 2.942 34.4 1.2 1.310 0.153 1.55 1.745 0.199 11.6 2.05 0.774 387 short 0.011 0.12 nan nan 139
G3.058_P34.4_1.000 3.058 34.4 nan nan nan nan nan nan 11.6 2.10 1 377 long 9.7e-3 0.17 0.13 0.11 134
G3.058_P34.4_0.774 3.058 34.4 nan nan nan nan nan nan 11.6 2.10 0.774 400 short 9.0e-3 0.16 nan nan 139
G2.528_P34.5_1.000 2.528 34.5 1.375 1.505 0.163 1.375 1.505 0.163 12.5 2.00 1 508 short 9.4e-3 0.053 nan nan 149
G2.528_P34.5_0.774 2.528 34.5 1.2 1.296 0.140 1.55 1.722 0.188 12.5 2.00 0.774 558 short 5.6e-3 0.16 nan nan 156
G2.640_P34.5_1.000 2.640 34.5 1.375 1.508 0.164 1.375 1.508 0.164 12.4 2.05 1 516 short 0.012 0.12 nan nan 147
G2.640_P34.5_0.774 2.640 34.5 nan nan nan nan nan nan 12.4 2.05 0.774 560 short 6.4e-3 0.18 nan nan 154
