EOS M1 M2 Gth R1.35 Mej v Ekin
NL3 1.35 1.35 full 14.75 2.09 0.18 0.98
NL3 1.35 1.35 2 14.75 1.57 0.34 2.03
NL3 1.35 1.35 1.8 14.75 1.60 0.32 2.99
NL3 1.35 1.35 1.5 14.75 1.86 0.30 1.98
GS1 1.35 1.35 full 14.72 2.19 0.32 3.43
Shen 1.35 1.35 full 14.56 2.33 0.23 4.80
TM1 1.35 1.35 full 14.49 1.67 0.16 0.74
TM1 1.35 1.35 2 14.49 1.37 0.36 2.02
TM1 1.35 1.35 1.8 14.49 1.33 0.34 1.77
TM1 1.35 1.35 1.5 14.49 1.53 0.32 1.86
TMA 1.35 1.35 full 13.86 2.05 0.18 1.19
LS375 1.35 1.35 full 13.56 2.58 0.30 3.39
GS2 1.35 1.35 full 13.38 2.74 0.19 2.16
DD2 1.35 1.35 full 13.21 3.07 0.22 2.18
DD2 1.35 1.35 2 13.21 2.57 0.34 3.31
DD2 1.35 1.35 1.8 13.21 2.26 0.32 2.61
DD2 1.35 1.35 1.5 13.21 2.72 0.30 2.90
LS220 1.35 1.35 full 12.64 1.99 0.28 2.08
LS180 1.35 1.35 x full 12.14 2.26 0.29 3.02
SFHX 1.35 1.35 full 11.98 6.16 0.22 4.36
SFHO 1.35 1.35 full 11.92 4.83 0.23 3.61
SFHO 1.35 1.35 2 11.92 2.96 0.32 3.37
SFHO 1.35 1.35 1.8 11.92 3.26 0.34 4.18
SFHO 1.35 1.35 1.5 11.92 3.82 0.30 4.14
eosL 1.35 1.35 2 15.74 1.49 0.22 0.77
eosL 1.35 1.35 1.5 15.74 3.45 0.20 1.49
MS1 1.35 1.35 2 14.99 1.17 0.27 0.98
MS1 1.35 1.35 1.5 14.99 2.38 0.21 1.19
MS1b 1.35 1.35 2 14.59 1.67 0.25 1.26
MS1b 1.35 1.35 1.5 14.59 3.64 0.21 1.85
Glenh3 1.35 1.35 x 2 14.52 1.08 0.23 0.62
Glenh3 1.35 1.35 x 1.5 14.52 1.69 0.22 0.90
MS2 1.35 1.35 x 2 14.25 0.81 0.26 0.65
H3 1.35 1.35 x 2 13.95 1.43 0.27 1.15
H4 1.35 1.35 2 13.95 1.28 0.27 1.09
H4 1.35 1.35 1.5 13.95 1.93 0.27 1.64
Heb6 1.35 1.35 2 13.33 1.55 0.45 3.86
Heb6 1.35 1.35 1.5 13.33 3.43 0.24 2.58
eosO 1.35 1.35 2 12.85 3.52 0.28 3.04
eosO 1.35 1.35 1.5 12.85 4.62 0.25 3.27
ALF2 1.35 1.35 2 12.78 3.80 0.28 3.36
ALF2 1.35 1.35 1.5 12.78 4.49 0.27 3.80
BSk21 1.35 1.35 2 12.54 3.36 0.32 3.89
BSk21 1.35 1.35 1.5 12.54 4.37 0.27 3.81
Heb4 1.35 1.35 2 12.51 1.89 0.43 4.33
Heb4 1.35 1.35 1.5 12.51 2.41 0.39 5.13
MPA1 1.35 1.35 2 12.49 3.64 0.30 3.60
MPA1 1.35 1.35 1.5 12.49 4.48 0.29 4.35
Heb5 1.35 1.35 2 12.38 2.63 0.43 5.93
Heb5 1.35 1.35 1.5 12.38 2.90 0.38 5.89
eosC 1.35 1.35 x 1.5 12.06 3.09 0.27 2.49
ENG 1.35 1.35 2 12.05 5.29 0.29 5.01
ENG 1.35 1.35 1.5 12.05 6.32 0.26 5.30
APR3 1.35 1.35 2 12.04 4.65 0.30 4.69
APR3 1.35 1.35 1.5 12.04 6.15 0.27 5.50
Heb3 1.35 1.35 2 12.03 2.99 0.41 6.43
Heb3 1.35 1.35 1.5 12.03 3.70 0.37 6.93
